input,translation
पल्लो घरकी थापा कान्छी र बारीको पुच्छरतिर पुग्दा पिठागोटेकी छोरी पनि मिसिईन् । ,पल्लो इमौ थापा कान्छी अनी बारीओ पुच्छारलाक टाहानाङ पिठागोटेओ माझामीजा ड मोहोला ।
यसले मासु खायो । ,इचे स्या ज्या ।
नवयुवाहरूले गर्नु पर्ने काम यो हो । ,नवजजाकै जाट्के पस्च काम आले इसे ।
उसले के ल्याएछ ? ,होचे ही राक्लेसा ?
तिथ्राको कथा,नाङथ्राओ कथा
हेर हेर बाला हो । ,ङोसो ङोसो बाला हो ।
भाइ भरे आइपुग्छ होला । ,भया नमार्लाक टाराहाले ओला ।
त्यसको छेवैमा पानीगाग्री राख्ने आ“टी थियो । ,होच्यो छेवाङ डीगाग्री डाके आँटी लेया ।
तीन जनाले चाँहि यो दुःख सहेर भएपनि विद्यालयको नाम राख्यो । ,सोम जनाय च इसे डुखा सह्डीम लेनाङड विद्यालयो म्यारमीन डा ।
संकटकालको समय । ,संकटकालो समय ।
पूजा गरेपछि खाना पाउलस् है बाबु । ,पूजा जाट्प्याक ज्याके डीन्डल है बाबु ।
"भाइ आयो , भात खायो अनि स्कुल गयो । ","भया राहा , छो ज्या अनी स्कुल नुहुँआ ।"
एकदिनको काम छ । ,का याकौ काम ले ।
कहिले काँहि चाँहि चिउरा किनेर बाँडरे खान्थ्यौं । ,सेनर सेन च चीउरा लोम पुङ्म ज्याओला ।
भनि गो नि केटाकेटीले आमा पायो । ,डेया नी जजाकोइ मोइ डीन्हा ।
सधैं मान्छेले सोचो जस्तो नहुने रहेछ । ,सेनडसेन भर्मीय सोचो लख माछान्ह्के लेसा ।
होइन तिमी त हिरो पो देखियो है । ,माहाले नाङ च हिरो पो डाङा है ।
‘ईश्वर जानुन . . . । ’,चाईश्वर वाह्रोस् . . . ।
सक्ने बेला पनि रुएर बाँच्नु पर्यो । ,य्होक्च बेला ड राप्मन जीवाके परीसा ।
"उनले त्यही समयलाई सम्झना गरेर ममाथि लेखेकी रहिछे , ‘ . . . हामीलाई छुटिने मन त थिएन , भए पनि छुटिनै पर्यो । छुटिने बेलामा सम्झेँ , अब सरसँग कहिल्यै भेट हुँदैन हो । ’","होच्य होसेन समयके आर्मीट्म जाट्म ङाढेमाङ रीक्च लेसा , माडूप्ल आले . कानके छुट्डीस्के मीमन च मालेया , डेनाङ ड छुट्डीस्केन परीसा ।"
"ती दुई जोडी मिहेनती मात्र होइनन् , साह्रै मिल्तीको नमूना जोडी पनि थियो । ","होस न्हीस जोडीस्च मीहेम मात्रै माहाले , साह्रै खाटौ नमूना जोडीस्च लेया ।"
ममाथिको दाज्यु छैन । ,ङाढेमाङो दाजी माले ।
"कतै यता उता गयो कि भनेर कुर्यो , खोज्यो । ","की इलाक आलाक नुहुँआ की डेम वाङा , पा ।"
मन भित्र भित्रै । ,मीमन भीट्री मीट्रीन ।
मलाई मन पराउने ती विद्यार्थी । ,ङाके मीमन जाट्के होस विद्यार्थी ।
"यकिना दाज्युको पुस्तक पढेपछि मैले आफ्नो मातृभाषामा जगज लेख्न थालेँ , थाहा नपाइ । ","यीना दाजीओ पुस्तक पढीस्प्याक ङै मेनो मोइभाषाङ जगज रीक्के ठाल्च , ठाहा माडीन्ह्म माडीन्ह्म ।"
कमलाको माइतीले समाजलाई माङ्गेनाको अर्थ भने । ,कमलाओ माइटीय समाजके माङगेनाओ अर्थ डेआ ।
बसबाट ओर्लेर म डेरामा जाँदै थिएँ । ,बसीङ झाल्म ङा डेराङ नुहुँमन ङालेयाङ ।
‘हो भनेको मनको कुरा मनमै कुवाएर राख्छ । ’,होसे डेच मीमनो कुरा मीमनाङन घेरेलाक्म डौ ।
कुखरा यहाँ छ । ,ग्वा इलाङ ले ।
यस गाउँमा जान्ने बुझ्ने धेरै छैनन् । ,इसे लाङ्घाङ वार्च व्हार्के ढेर माले ।
"मैले दाज्युको कुराकानी सुनिरहेँ , कान चनाखो पारेर । ","ङै दाजीओ कुराकानी ङासेआङ , हामी मन्डीम पार्डीम ।"
छोरी पधेँरोमा लडिछे । ,माझा मीजा डीघाटुआङ खोरोहोलेसा ।
घरमा जेठी बुढी अनि दुईटी छोरी देखेपछि त तिनको पनि खुसी माथि पानी पोखिएको अनुहारले देखाइरहेको थियो । ,इमाङ जेठी बुढी अनी न्हीस माझामीजा डाङाप्याक च होच्यो ड खुसी ढेमाङ डी याट्च मीटाहाय टनाक्मन लेया ।
मसँग दस लाख पैसा भएको भए म हिरो हुने थिएँ । ,ङाकठा चूकस पैसा छान्ह्च लेनाङ ङा हिरो छान्ह्च ङालेयाङ ।
ताम्बाले भन्नु भएको कुरा मान । ,ताम्बाय डेच कुरा मन्डीनी ।
"अहिले पनि त्यो कुकुरले मेरै बाटो हेरिरहन्छ होला , त्यसै गरि । ","इनाङ ड होस चीऊय ङौन लाम ङोस्मङुले ओला , होटन जाट्म ।"
‘कसैले हुर्काएको अनि पढाइ दिएको होइन पो । माया नगर्ने मान्छेले गाली पनि गर्न पाइँदैन । ’ एकदिन मैले कराइ दिएँ । ,सुयर होयोच अनी पढीसाक्म याहाच माहाले ।
दाज्युका साहित्य क्षेत्रका अरु अरु पुस्तकहरु पनि मैले पढ्न पाएको थिएँ । ,दाजीओ साहित्य क्षैत्रो अरु पुस्तकको ड ङै पढीस्के डीन्ह्च ङालेयाङ ।
मन पराउने आधा मन नपराउने आधा । ,जाक्च राहाके मीमन मापरीस्के काबोक ।
"उसले फुरुङ्ग हुँदै भन्यो , ‘मिमिन्दा । ’","होच्य फुरुङ्ग छान्ह्मन डेया , 'मिमिन्दा ।"
लेखपढ गरेर मात्र के गरोस् ? ,रीक्चपढीस्के जाटार मात्रै ही जाटोस् ?
यो चाँहि दशैं होइन कि ? ,इसे च दशैं माहाले की ?
उ गएको एक दिनमा नै कान्छी श्रीमती सुत्केरी भइ । ,होस नुहुँच का याकाङ न कान्छी माझ सुट्केरी छान्हा ।
तीन दिनपछि बल्ल आज तिनि केही निष्कर्षमा पुगिन् र गोठालो जाने भईन् । ,सोम याकन्हुनीङ बल्ल छीनीङ होसे हीड निष्कर्षाङ टाहा अनी बरसालो नुहुँके नुहुँके डेले ।
माङ्गेना त राज्यसत्ताले हामी सबै आदिवासीको गर्नुपर्छ । ,माङ्गेना च राज्यसट्टै कान जम्मै आदीबासीओ जाट्के पर्ले ।
घरधन्दा सकेर ठूलीमैया सुत्नलाई आफ्नो ओछ्यानमा छिरिन् । ,इनढन्दा डूमार करङ्चमैया मीके मेनो ओछ्यानाङ पहीसा ।
बहिनीजुवाइँ सेनामा छन् । ,नानीजुवाइ सेटाक्मन ले ।
राम्ररी भन । ,सेम डेनी ।
"उनैको सामु वाचन गर्न पाईन , वाचन गर्ने मन भए पनि । ","होसकुङ सामु वाचन जाट्के माडीन्हा , वाचन जाट्के मीमन लेनाङ ड ।"
तेस्रो मुलुक धपाउने रे । ,सोम मुलुक जोहोक्के टा ।
आँगन भरी भरी मान्छे थियो । ,आर्भा भरी भरी भर्मी लेया ।
"सिबिरमा बुबाआमा , प्यारी मनमाया र छोरी र नरे छुटेर गएको हो । ","सिबिराङ बोइमोइ , प्यारी मनमाया र माझा मीजा र नरे भाहार नुङ्च आले ।"
पत्रिका कता पाउँला ? त्यो पत्रिकाको सम्पादक को होला ? त्यस बेलासम्म मलाई थाहा थिएन । ,पत्रिका कुलाङ डीन्ह्ले ? होस पत्रिकाओ सम्पादक सु ओला ? होस बेलासम्म ङाके ठाहा मालेया ।
काहीँ पनि पढ्न पाइएको थिएन । ,कुलाङ ड पढीस्के डीन्ह्च मालेया ।
केहि थाहा पाउन सकिन । ,हीड ठाहा डीन्ह्के माय्होका ।
"त्यसले मलाई च्याप्प समाती बस्यो , एक पटक पनि फुत्त नछोडिकना । ","होच्ये ङाके च्याप्प जीम्न ङुआ , काट पटक ड फुट्ट माडास्म ।"
उसलाई बिरामीसँग बस्न नदेओस् । ,होसके छाच कठा ङुके माडाङा ।
सुन्तला रोप्ने मान्छे नै बेपत्ता भईरहेको अवस्थामा तिनले आफ्नो मनलाई ढुङ्गा बनाउन परेकी थिईन् । ,सुन्तला रोप्डीके भर्मी न बेपट्टा छान्हा अवस्थाआङ होच्य मेनो ल्हुङ खास्के मीमन ल्हुङ्म लेया ।
बाजे मासु खोस्न जानुभएछ । ,बाजी स्या स्याट्के नुहुङ्लेसा ।
उसकी दिदी सबेरै चुल्होमा तावा बसाल्थी  । ,होसकुङ डै जम्मै धेरै चुल्हाआङ टावा बल्हा ।
अनि स्कुल हिँड्थ्यो  । ,हतै स्कुल व्हाओला ।
"कस्तो अचम्म ! त्यो चोर्नी आइमाई , लोग्ने हु“दाहु“दा पोइल जाने मेरी स्वास्नी अनि मैले अगाध श्रद्धा गर्ने आइमाई छिः कति घिनाउ“दा । ","कुन्च अम्म ! होस चोर्के माझा , लेन्जामीजा हुर्के पर्दा जाह्नाङ पोइ नुहुँके ङौ स्वास् अनी ङै अगाडी आध्रद्धा जाट्के टाराहा ।"
मन रमाएको ठाउँको माया प्रेम । ,मीमनाङ अनी ठाउँओ माया प्रेम ।
ए आइपुग्यौ हरीलाल ? ,ए टाराहा हरीलाल ?
धेरै कुरा नगर । ,ढेरै कुरा माजाट्नी ।
तपाईहरूले खाना खानु भयो । ,नाकोइ छो ज्याको ।
‘मसँग त केहि पनि भएको छैन’ मैले भने । ,ङाकठा च हीड ड मालेम माडेम ङै डेया ।
‘आ“ आ“ . . . के काम पार्यो ता ? ’,होडीकरे आस्काट . . ही काम डीन्हा ?
पूर्वमा घाम झुल्किन्छ । ,पूर्वआङ नाङखान फेर्ह्ले ।
ति दुबै जनाको कुरा नसुने झैं गरेर बस्यो चन्द्र सूर्यको बुबा । ,होसे न्हीस जनौ कुरा मासेनाङ लख जाटार ङुआ चन्द्र सूर्यओ बोइ ।
बाजे हुनु भएको भए मलाई मायाले खेलाउनु हुन्थ्यो होला । ,बाजी लेचको डेनाङ ङाके जाक्म गेटोलाको ओला ।
ल ल म आउँछु । ,ल ल्हाक्लाङ राहालाङ ।
उसँग खेल्ने साथी म मात्र थियो । ,होसकठा गेस्के लाफा ङा मात्रै लेया ।
म त्यसरी नै ओछ्यानमा लम्पसार परिरहेको थिएँ । ,ङा होटरी न ओछ्यानाङ लम्पसार परीसुमन ङालेयाङ ।
‘कि लौ लौ यो केटीले त कत्रो कोसेली पो ल्याइछ्यौ भनेको त माइतमा मादल पो बोकेर आइछ्यौ है भनेर भाउजु–संगीले जिस्क्याउलान् भनेर हो ? ’,nan
सुरादिने महिलाहरू जाँड दिदै थिइन् । ,मायाहाच माझाको हान याहामन लेया ।
छोराछोरीको पढाइ पनि थियो । ,मोजाकुङ पढाइ ड लेया ।
बुबाआमा बितेपछि उनी एक्ली भई । ,बोइमोइ सीप्याक होसे मेल्लाहा छान्हा ।
सिङचुवा गाउँमा बिजुली पनि थियो रे । ,सीचुवा लाङ्घाङ बिजुली ड लेया टा ।
‘हुँदैन बाबु । ’,माछान्ह्ले बाबु ।
पात झरेको यो जीवन अब कहिल्यै हराभरा हुन सक्दैन । ,ल्हा झाल्च इसे जीवन अब सेन्ड भीचसेच छान्ह्के माय्होक्ले ।
"‘म सुतेँ है बोइमो , मलाई नबिउँझाउनु ल आजा । ’","ङा होडीक मीसा है बुबामो , ङाके मासोटो लनुहुँके राहा ।"
सब्जेक्ट अनुसार शिक्षक नहुने रहेछ । ,सब्जेक्ट अनुसार शिक्षक माछान्ह्के लेसा ।
तिमी कहिले गयौ ? ,नाङ सेन नुङ्च ?
मान्छे अग्लो छ । ,भर्मी घङ्च ले ।
लप्सी अमिलो हुन्छ । ,लप्सी बीर्म छान्ह्ले ।
डुकुलेको छोरा भिमे र म एउटै कक्षमा पढ्ने साथी । ,डुकुलेओ लेन्जामीजा भिमे अनी ङा काट न कक्षाङ पढीस्च लाफा ।
हामी सबैजना यति ध्यानमग्न भएर उनीतर्फ केन्द्रित थियौं कि मानौं कृष्णको बा“सुरी धुनमा गोपिनीहरु मेहित भइरहेछन्् । ,कान जम्मै इटार ध्यामग्न छान्हार होसकोइटफ्रिहोच लेया की माने ।
त्यसरी नभन । ,होतरी माडेनी ।
ऊ मेरो दाइको ससुरा हो । ,होसे ङौ दाजीओ ससुरा आले ।
ती मान्छेले मलाई काँधमा थपक्क राखेर बिस्तारै तल भूँइमा थपक्क राखे । ,होस भर्मीय ङाके मीचार्डीयाङ ठपक्क डाम बीस्टारै म्हाकाङ झाङ ठपक्क डा ।
रातभरि मलाई निद्रा लागेन । ,नाबीकभरी ङाके मीमीक माराहा ।
मन मिल्यो । ,मीमन खाटा ।
‘भोनि नै’ सर भन्ने चाँहिले भने । ,होटारकोड न डाङ्म सर डेच चय डेया ।
सोनाम हिजो आएन किनभने उसको भाइ अस्वस्थ थियो । ,सोनाम टीसीनीङ माराहा हीकेडेनाङ होस्कुङ भया छाम लेया ।
दियोमा जुनकिरी फ्याट्ट फ्याट्ट गरिरहेको थियो । ,डीयोआङ बबलीडू फ्याट्ट फ्याट्ट जाट्मन लेया ।
योचाहिँ राम्रो रहेछ । ,इसे चैडीस्च लेसा ।
निमा कता गयो कोनि ? ,निमा कुलाङ नुङ्च नी ?
भात नराम्रो रहेछ । ,छो मासेच लेसा ।
यिनीहरुले नै पो जलाएका रहेछन्् गडीचौकी । ,इसकोइ न पो जलाका लेसाको ।
त्यो भैसीको पाडा उत्ताउलो भयो । ,होसे भैसीओ पाडा उटाउलो छाना ।
"त्यहाँ लेखिएको थियो , ‘अक्कल सर ! मलाई तपाईं धेरै मन पर्यो । मेरो यो मायालाई तपाईंले तपाईंको मुटुको एउटा कुनामा लुकाएर राख्नुहोस् , आई लभ यू अक्कल सर । ’","होलाङ रीक्च लेया , होटल सरक्क्ल सर ! ङाके नाको ढेर मीमन परीसा । ङौ इसे मायाके नाकोइ नाकुङ मीगीनो काट कुनाङ आर्चीक्म डानीको , आई लभ यू अक्कल सर ।"
हाम्रो दोहोरी हरायो । ,कानुङ डोहोरी म्हाटा ।
टेकनाथ रिजाल सारलाई पनि साथ दिन सकिन । ,टेकनाथ रिजाल सारके ड साठ याहाके य्होक्ले ।
माया अन्धो हुन्छ भन्छन्् सायद अन्धो भएरै बहादुर हुँदो हो । ,माया अन्ढो छान्ह्ले डेउला सायड अन्ढो छान्ह्मन बहादुर छान्ह्च आले ।
एउटा घट्ट ग्लान बाजेको थियो । ,काट घट्ट ग्लान बाजीओ लेया ।
सुङ्गुर पहेंलो हुँदैन । ,वाक ओर्च माछान्ह्ले ।
वारी पारी कसैले यसपाली एसएलसी पास गरेन । ,वार्लाक पार्लाक सुयर छेल्हेस एसएलसी पास माजाटा ।
धेरै रमाइलो हुन्छ । ,ढेर मीमराङ्च छान्ह्ले ।
उसले भाइलाई लौराले हिर्कायो । ,होचे भयाके डाङ्गै ङापा ।
विद्यालयबाट छुटिने समय आयो । ,विद्यालयीङ छुट्डीस्के समय राहा ।
बज्यैले मलाई छोडेको छैन । ,बज्ये ङाके माडास्मने ।
अहिले त गाउँको छाँया नै बदलिय झैं हुन्दैछ । ,इनाङ च लाङ्घौ छाँया न बलिय लख आले ।
अर्को आमसभा विराटनगरमा छ  । ,आस्काट आमभा विरानगराङ ले ।
यहाँ बस । ,इलाङ ङुन ।
मैले सबैलाई पालैपालौ पुलुक पुलुक हेर्न मात्र सकेँ । ,ङै जम्मैके पार्लाक पुलुक पुलुक ङोस्के मात्रै माय्होका ।
आ ! त्रु त्रु आ ! ,आ ! त्रु त्रु आ !
नरेलाई लिन आएको रहेछ । ,नरेके लाके राहाच लेसा ।
"‘म त चिसो कक्रेर पो नबोलि बसेको हो भाइ , धरान नपुगी आङ तात्ला जस्तो छैन । ’","होसे च क्योक्च कक्रम पोक्म ङुच आले भया , धरान माओ मुटुङ्ला लख माले ।"
"त्यति भनेर उनले मलाई अँगालो हाली , निकै बेरसम्म । ","होटार डेम होच्य ङाके अँगालो का , नीकै बेरसम्म ।"
"दाज्यु मञ्जुलले मायाले भन्नुभयो , ‘हुँदैन , भाइ दुईजनालाई आज मैले बनाएको चिया खुवाउनु पर्छ । ’","दाजी मञ्जुलय जाक्म डेयाको , 'लै माडेनाङ , न्हीसजनाके छीनीङ ङै खास्च चीया ।"
"रामजी बाहुनले अन्तरेको खुट्टै समातेर ढोग्यो , ‘त्यसो नभनी बक्स्योस् . . . . बरु हजुरलाई जे ट्क्र्याउनु पर्छ टक्र्याउ“ला । ’","रामजी बाहुनय अन्टरेओ मीहीलाङन जिम्म झोरा , माडेम ङुनी . . बरु नाकोके ही ट्क्रडीके परीस्ले टक्रडीलाङ ।"
त्यसबेला देखि कहिल्यै त्यो हाती माथि चढ्ने बल गरिन । ,होसबेला व्होरा सेनर होस हात्ती ढेमाङ काल्ह्के बल माजाटा ।
( भाइ घरमा थियो कि ? ) ,मीजा इमाङ लेया की ?
मनभित्र बलिरहेको आगो अनि आँसुलाई आँखाभित्रै लुकाएर मैले बाउमाइतीको अगाडि उति दुःख देखाइन । ,मीमनभीट्री बलिस्मन म्हेन अनी मीमीकडीके मीमीकभीट्री आर्चीम ङै बोइमाइतीओ अगाडी उडीया ।
बिहान बेलुकी काम गर्यो खायो । ,गोरक नामबीलाक काम जाटा ज्या ।
जति कुदे पनि लेखे पनि अहँ यो जनताले देखेन । ,जुटार खेर्नाङ ड रीक्नाङ ड अहँ इसे जनताय माडाङा ।
तिमी र म काठमाडौं भागौँ । ,नाङ र ङा काठमाडौं जोहोला ।
दुई ठाउँमा बिहे भयो तर कतै घरजम गरेर खान सकेन । ,न्हीस ठाउँआङ वीहा छान्हा टर कलाक ड इमजम जाट्म ज्या मय्होका ।
मान्छे पनि त्यस्तै । ,भर्मी ड हुन्चन ।
पाल्देन लड्यो । ,पाल्देन खोरोआ ।
मर्ने पर्ने भए भैंसी गाईको जीवन लिए पनि हुने नि । ,सीके परीस्च डेनाङ भैंसी हेटो जीवन लाम ड छान्ह्के नी ।
दशैंको छुट्टिमा घर आएकी थिइन लानि । ,दशैंओ छुट्टीआङ इम राहम लेया लानि ।
‘आफू त बाँझी भई भई लोग्नेलाई पनि पिण्ड खान नदिएर नरक पठाउली । ’,मेनके च बाँझी छान्हा छान्हा लेन्जाके ड पिण्ड ज्याके मायाहाम नरक बीर्हीन्चले ।
यसरी बस । ,इतरी ङुन ।
ढोका लगाएको छैन । ,गलाम माठुन्मने ।
आज घाम लाग्छ । ,छीनीङ नाङ्खान लैडीस्ले ।
रोइ रोइ भागी । ,रोइ अनी भागी ।
दिनभरीजसो सुतेरै बिताईन् । ,याकभरीलख मीसमन बीट्डीसा ।
म दिन्हुँ फेसबुक हेर्छु । ,ङा याहाले फेसबुक ङोसा ।
"खानाको स्वाद नभएर , पानीको तिर्खा नभएर वा नखाएर नपिएर सुक्दै गएको शरीरलाई एक पिन्ट सलाइन दिए हुन्थ्यो कि भन्ने लाग्यो । ","छो स्वाड मालेनाङ , डी सुहुङ्के मालेनाङ वा माज्याम मागाम छोक्म नुङ्च ज्याके काट पिन्ट सलाइन याहाम छान्ह्ले की डेम लैडीसा ।"
तिमीहरूले भात घिचौ । ,नाकोइ छो नाज्यास् ।
मलाई मायाले जेठा नाति भन्नु हुन्थ्यो होला । ,ङाके मायाय मीझार नाटी नुहुँओला ओला ।
त्यही कुराले होला उ अलि निहुरियो । ,होस कुराय ओला होस अली घुमा ।
फूलपातिको भैंसी । ,फूलपाटीओ भैंसी ।
"छुटिने बेलामा सुष्म दिदीले मलाई भन्नु भयो , ‘कति राम्रो कविता भाइको , कति राम्रो सानाका दिनहरु । मलाई औधी मन पर्यो भाइ तपाईंको त्यो कविता . . . ’","छुट्डीस्च बेलाङ सुष्म डैय ङाके डेयाको , 'कुरीक सेहेच कविता भयो , करीक सेहेच मार्ह्नाओ याकको । ङाके ढेर मीमन परीसा भया नाकुङ होस कविता . . . ।"
चाख्ने मन पनि हुँदैन थियो । ,माङ्के मीमन ड माछान्होला ।
रूख अग्लो छ । ,वुलो करङ्च ले ।
सुत्ने बिउँझिने क्रम भैरह्यो । ,मीस्के सोके क्रम छान्ह्मङुआ ।
चिम्टाले आगो समात । ,चीम्टै म्हे जीमो ।
सीताले बर्को ओढी । ,सीताय बर्को पुआ ।
मैले सम्झँदा पदुवा बज्यै चारजना नातीसँग बस्थ्यो । ,ङै आर्मीट्नाङ पडुवा बजारजना नाटीकठा ङुओला ।
त्यहाँ हेर । ,होलाङ ङोसो ।
ठुलोसानो सबैलाई दिऊ । ,बडासानो जम्मैके याहानी ।
सबै मस्त निन्द्रामा सुतिराखेको समय । ,जम्मै मस्ट मीमीकराठाङ मीस्मनलेच समय।
गाउँबाट मातेर आइपुगेका ससुरा बुढा दलानमा सुतिरहनु भएको थियो । ,लाङ्घीङ म्होरम टाराहच ससुरा बुढा दलानाङ मीस्मन लेयाको ।
साँहिलो म्हारसाङको फूपूकी छोरी । ,साँहिला म्हारसाङओ नीनीओ माझामीजा ।
गाउँका मानिसले पेमालाई मुखिया बनायो । ,लाङ्घौ भर्मीय पेमाके मुखीया खासा ।
मैले होमवर्क लेखेको छैन । ,ङै होमवर्क रीक्मने ।
त्यति भए पुग्छ । ,होतार लेनाङ ओल्ले ।
कस्तो कस्तो लाग्थ्यो । ,कुन्च कुङ्च लैडीसोला ।
साथी पनि दाज्यु भाइ पनि । ,लाफा र दाजीभया र ।
ती कविताहरुलाई साहित्य क्षेत्रका पाठकहरुले मन पराउँदै आएका छन् । ,होस कविताकोके साहित्य क्षेत्राङ पाठककोय मीमन जाक्मन राहाच ले ।
यो मान्ेछ मर्दै मर्दैन भन्ने झाँक्रीले पनि अब मर्छ होला भन्न थाल्यो । ,इसे मासीले सीले डेम झाँक्रीय ड अब सीले ओला डेके ठाला ।
के गर्ने विचर टाढाबाट आउँदा आउँदै अबेर भयो होला । ,ही जाट्के विचर लोसीङ राहानाङ राहाड अबेर छान्हा ओला ।
‘कसलाई कुरेको बाबु ? ’ बुढोले नम्र स्वरमा सोध्यो । ,सुके वाङ्च बाबु ? ' बुढोय नम्र स्वराङ गीना ।
क्यामेराको रिल जस्तै मनमा नाचेर आयो । ,क्यामेरौ रील लख मीमनाङ स्याह्म राहा ।
थाहा नहुँदा नुहँदै मैले सिजो लेख्न बल गरेको थिएँ । ,ठाहा माछान्हाङ माछान्हाङन ङै सिजो रिक्के बल जाट्म ङालेयाङ ।
यसपालि ऊ पास हुन्छ हुन्छ । ,छेल्हेस होस पास छान्ह्ले छान्ह्ले छान्ह्ले ।
त्यो मान्छे को रहेछ ? ,होसे भर्मी सु लेसा ?
"‘लौ राम्रो भयो’ , त्यति भनेर गुरुङ साथी एक पटक बुरुक्क उफ्रियो । ","लौ सेहेच छान्हा , होटार डेम गुरुङ लाफा काट पटक बुरुक्क फोर्होजोआ ।"
"पछि पछि आफ्नो मातृभाषाको साहित्यिक कार्यक्रमतिर पनि म हिँड्न थालेँ , त्यही समयदेखि नै । ","न्हुनीङ न्हुनीङ मेनो मोइभाषाओ साहित्यिक कार्यक्रमलाक ड ङा व्हाके ङाठालाङ , होस समयव्हारा न ।"
