MAGAR,NEPALI
मीमार्हाङ ख्योहोके,खुशी लाग्नु
गलम माफोनी !,ढोका नखोल्नुस् !
गहट माल्के नुहुँच।,गहत गोड्न गएको।
म्हे गुप्के,आगो ताप्नु
मीस्याक घोसोक्के,दाँत माझ्नु
ङा काठमाडौँ ङुले।,म काठमाडौँमा बस्छु।
मीहीले ङाप्के,खुट्टाले हान्नु
कुडीक ङाहा ?,कति बज्यो ?
नाकोके फीलीम ङोस्के पुपमने ?,तपाईंलाई फिलीम हेर्न मन लाग्यो ?
नाको चँमइ ङौ युमाङ राहाके भेट्ले माभेट्ले ?,तपाईं भरे मेरो घरमा आउन भ्याउनुहुन्छ ?
नीस भुर्मी जाट्च लेखा,दुई जनाले गरेको जस्तो
उम्च महीना,गर्मी महीना
चेक च्याक्म डेनी !,अलि ठूलो स्वरले भन्नुस् !
च्याहाच बडीन,च्यतिएको लुगा
मीजा छान्ह्के,बच्चा पाउनु
होटा छान्ह्म,त्यसो भए
छार्याहाके सु-सु नुहुँके ?,को-को घुम्न जाने ?
छीनीङ नामबीलाक झ्वाट्टै न राहानी।,आज बेलुका तुरुन्तै आउनुस् !
मीछाम छ्याक्के,कपाल बाँध्नु
ङै इसे काम जाट्के जाक्मने।,मलाई यो काम गर्न मन लाग्यो।
बाट जाट्के,कुरा गर्नु
साप जाट्के,सफा गर्नु
हेला जाट्के,हेला गर्नु
जापा माजापा ?,मीठो लाग्यो ?
मीमीक डी जुर्ह्के,आँसु खसाल्नु
जेनजेरेक ङुके,टुक्रुक्क बस्नु
ङै म्हेयाङ स्या जोच।,मैले आगोमा मासु पोले ।
खोलै सीङ जोका।,खोलाले दाउरा बगायो।
आरुवै सीनौ मुढा ज्याहा।,बन्चरोले काठको मुढो तास्यो।
पैसा/हील्च झुरुम्के,पैसा बचाउनु
टाक्के माय्होक्च,सहन नसक्ने
खय्नीक टाकाङ,अस्ति तिर
युम पीङ्टार,घर भरी
कान होलाङ टाहाके पा।,हामी त्यहाँ पुग्न कोशिश गर्यौं।
टीसीनीङ मोचा लोम राका।,हिजो केरा किनेर ल्याएँ।
सीसा भाट्ठाङ सासुमानै ढीस्च।,सिसी फुटेकोले सासूले गाली गरेको।
ङा भाडा ठुट्म भेट्नासीन बडीन हुर्ले।,म भाँडा माझिसके पछि लुगा धुन्छु।
भाडा ठुट्के,भाँडा माझ्नु
डासो !,छोड !
सेनर माडुप्के,कहिले पनि नभेट्ने
इसके ही डेले ?,एस्लाई के भन्छ ?
कुडीक जेले हुडीक न डेस्म नुहुँले।,जति खाने उति मोटाउने।
ढुस्म याहानी !,सहायता दिनुस् !
ढेरै लेखाना,धेरै जसो
नाकुङ मेर्मीन ही आले ?,तपाईंको नाम के हो ?
नामास राहाके पा।,पानी पर्न थाल्यो।
य्हामी नुहुँके,खेताला जानु
ठोहोके नौबाहै डेम,पकाउनु नपरोस् भनेर
ङाके परीस्के फुवा।,मलाई पढ्न दिक्क लाग्यो।
सीके पामने,मर्न लाग्यो
नाङखान फेर्ह्के,घाम उदाउनु
ढुँडी बाहा।,कुहीरो लाग्यो।
मीटालु म्हाङ्च बाहा।,टाउको घुमेको छोड्यो।
छो जेके बाहा।,भात खानु पर्यो।
कार्हाङ्च भर्मी,ठूलो मान्छे
लेन्जा भर्मी,केटा मान्छे
इसे भारी लीस्च लेसा।,यो भारी गरुङ्गो रहेछ।
ङा च भासाक्ना फुवा।,मलाई दिक्कै लाग्यो।
ढन्कुटो र अर्खलौ मगर कुरा भाहाले।,धनकुटाको र अर्खलाको मगर भाषा फरक हुन्छ।
भ्या ?,सक्यो ?
व्हाम नुहुँके,हिँडेर जानु
रोम सेके,दया लाग्नु
ङै छीनीङ छो माजेमने/माजेम।,आज मैले भात खाएको छैन।
ङै डेमन्या,मैले भन्दै थिएँ
डेके बाहामन्या/डेके माछान्ह्मन्या,भन्नु पर्थ्यो/भन्नु हुँदैनथ्यो
राहा मान ?,आयो कि ?
मीनाम बडीन लोच,नयाँ लुगा कीनेको
मीह्के खाटा माखाटा ?,राम्रोसँग सुत्नुभयो ?
मीटाहा मेह्के,मुख धुनु
मेनो मोइ,आफ्नो आमा
म्हा म्हीना,घाउ पाक्यो
म्हाक्च अर्खला,तल्लो अर्खला
मीटालु म्हाङ्के,रिङ्गटा लाग्नु
छो म्हीना,भात पाक्यो
म्हीन्च मीस्या,पाकेको फल
म्हे म्हुट्के,आगो फुक्नु
"डोकोनाङ ही-ही सामानको लेया, य्हाका माछानाहा।","दोकानमा के-के सामान थियो, याद भएन।"
टुक रान्छीम मारन्छीम ?,भोक लाग्यो ?
मीमीक राहाके,निद्रा लाग्नु
नामास राहाके,पानी पर्नु
इलाङ इन्च रोस ले।,यहाँ यस्तो चलन छ।
मीटुक र्हासा,पेट अघायो
कुडीक लोस ले ?,कति टाढा छ ?
ङौ मीस्याक हुट्म लोहोके बाहा।,मेरो दाँत उखाल्नु पर्यो।
डी सोन्ह्के,तिर्खा लाग्नु
हीर छान्ह्ले।,जे पनि हुन सक्छ।
होटा जाट्के माछान्ह्ले !,त्यसरी गर्नु हुँदैन !
होसै बखटाङ,त्यो बेलामा
मेझोर है लाफाको ।,नमस्ते है साथी हो ।
नाको कुलिकीङ राहाच ?,हजुर कहाँ बाट अउनु भाको ?
ए ङा पोखरा लेकिङ ।,ए म पोखरा बाट ।
नाकुङ म्यार्मिन हि आले ?,हजुरको नाम के हो ?
ङौ म्यार्मिन रोशन थापा मगर आले ।,मेरो नाम रोशन थापा मगर हो ।
नाकु हि मगर आले ?,तपाई के मगर हुनु हुन्छ ?
ङा थापा मगर ।,म थापा मगर ।
इलाक सेन टाह्रा ?,याहा कहिले आई पुग्नु भो ?
चाम्च चाम्च टाह्रा छ ।,भर्खरै आई पुगे ।
नाकु सेन ल्हेस्ले ?,तपाई कहिले फर्किनु हुन्छ ?
ए ङा आप्रेन ल्हेस्ले डेचो ।,ए म पर्सी फर्किन्छु भनेको ।
सेहेच लगदिस्या नाकु खाटाङ ङाकार ।,राम्रो लाग्यो तपाई सँग बोलेर ।
"लोउ , अच्छा ढुपिङ है ।","लोउ , फेरी भेटुम है ।"
झोर्ले पट्टन लाफाको !,नमस्कार सबै साथीहरु !
अनी लाफा नाकुङ  'कईरन ' हि आले ?,अनि साथी तपाईको  'थर ' के हो ?
"ङउ  'कईरन ' थापा आले , लाफा ।","मेरो  'थर ' थापा हो , साथी ।"
लोहो नी ?,आफ्नो नि ?
"नाकुङ कुबाओ इम कुला आले ,  लाफा ?","तपाईको मामाको घर कता हो , साथी ?"
"ङउ कुबाओ इम पाल्पा आले ,  लाफा ।","मेरो मामाको घर पाल्पा हो ,  साथी ।"
लोहो कुबाओ इम कुला आले ट ?,आफ्नो मामाको घर कहाँ हो त ?
पोखरा छेराकि रान्ही है ।,पोखरा घुम्न आउनुस है ।
"छान्ले लापा याम खाटा डेनाङ पोखरा , छेराकि मन सेमी ।","हुन्छ साथी समय मिल्यो भने पोखरा , घुम्न मन छ ।"
गेपोन ले !,सन्चै छ ! 
झेर्मेन ले !,सन्चै छ !
हि ले ?,के छ ?
कुलाक आले ?,कता हो ?
डुप्नाङ मराङ छाना ।,भेट्दा खुसी भयो ।
न्हुनिङ डुपिङ ।,पछी भेटौ ।
ह्याका डानी ।,याद राख्नु ।
पेरेसै म्हुङा ,अति थाके
मगरके रोह जाट्नी ।,मगरलाइ माया गर्नु ।
वाङ्नी लाफा ।,पर्खिनु साथि ।
रुङनी लाफा ।,पर्खिनु साथि ।
कठा नुहिङ  ।,सङ्गै जाम ।
याम माले ।,समय छैन ।
नम्मर्के पा ।,रात पर्न लाग्यो ।
ङौ सेहेमो ज ले ।,मेरो राम्रो नै छ ।
ङा सेहेमो खाटा मगर ढुट ङाक्के हेक्लाङ ।,म राम्रोसँग मगर भाषा बोल्न सक्छु ।
ङा इमाङ ङाल्लाखाट मुमन ले ।,म घरमा एक्लै बस्दै छु ।
ङै नाकोके ढलिङ जाक्लाङ ।,मैले तिमीलाइ धेरै रुचाउछु ।
नाकोल्लाखाट बनआङ मानुङ्नी हालौ ।,तिमी एक्लै बनमा नजाउ क्या ।
"मोइ बोयो रोह नाको ढेम , मिजाकुङ रोह ल्हुङ ढेम ।","आमा बाबाको माया तिमी माथी , बच्चाहरुको माया ढुङ्गा माथी ।"
ङै डेलाङ काट नाकोइ डेले आस्काट ।,मैले भन्छु एक तिमीले भन्छो अर्को ।
मगर मगर काट छानिङ कानुङ ङाक लेमै ले ।,मगर भगर एक हौ हाम्रो कुरा छदै छ ।
ङा नुईङ ?,म जाऊँ ?
नाकुङ कलम केटीङ की  ?,तँपाईको कलम प्रयोग गरु कि ?
ही कानकोई इन्नहङ जे ठाल्के परीस्ले ?,के हामीले तुरुन्तै थालनुपर्छ ?
ङा भिट्रीङ रहीङ ।,म भित्र आऊँ ।
ङाके इन्नहाश्र ङाक्के याहानीस् ।,मलाई अब बोल्न दिनुहोस् ।
ङई रेडियो साट्के हेक्लाङ ।,मैले रेडियो बन्द गर्न सक्छु ।
ङई नाक्क्ङ टेलीफोन केट्के हेक्लाङ ।,म तँपाईको टेलीफोन प्रयोग गर्न सक्छु ।
नाक्क्ङ मिस्च कोठाङ खू गाके हेक्लाङ ?,के तँपाईको सुत्ने कोठामा धुम्रपान गर्न सक्छु ?
ङा ड कठा ह्वाके हेक्लाङ ।,म पनि सँगै हिँड्न सक्छु ।
नाको हेक्टर चाँडो नुङ्के हेक्डनी ।,तँपाई सकेसम्म चाँडो जान सक्नुहुन्छ ।
ईन्नहङ भाके हेक्लाङ ?,अहिले बिदा लिन सक्छु ?
ही ङा गलाम माङाहाम भिट्री परीस्के हेक्लाङ ?,के म ढोका नघच्घचाई भित्र पस्न सक्छु ?
किर्पया गलाम माङाहामो भिट्री नापहीस्नीस् ।,कृपया ढोका नघच्घचाई प्रवेश नगर्नुहोस न ।
झोर्ले नाकोकेनी !,नमस्ते छ हजुरलाई नि !
लाफा नाको कुलाक आले ?,साथी हजुर कहाँ हो ?
लापा ङा इमांङ्न ले ।,साथी म घर मै छु ।
नाको कुलाक आले त ?,हजुर कहाँ हो त ?
ए आलेर लाफा ?,ए होर साथी ?
नाको इमाङ हि जाट्ले ?,हजुर घरमा के गर्नु हुन्छ ?
ङा त लाफा बारी घोएके ।,म त साथी बारी जोट्ने ।
हतैंइ मोल बुके ।,अनि मोल बोक्ने ।
गौआ भेरेस्के ।,मकै छर्नी ।
लाफा गौआ भेरेसार भ्या ?,साथी मकै छरेर भ्यायो ?
माभ्यामी लाफा ।,भ्याको छैना साथी ।
ल ल लाफा चेक् ढलिङ ।,ल ल साथी अलि धेरै ।
गौआ लैदिनी हैइ ।,मकै लाउनुस ल ।
ङानी राल्हे न्हुनी गौआ ज्याके ल ।,म नि आउनु पछि मकै खानलाई ल ।
छान्ने लाफा रान्हि ल ।,हुन्छ साथी आउनु ल ।
ङा नाकोके न्हुनी वाङ्म मुले ल ।,म पछि हजुर लाई पर्खेर बस्छु ल ।
जिलौ छान्ने लाफा ।,धन्यबाद हुन्छ साथी ।
झोर्ले मेलेनजा छो ज्या ट ।,नमस्कार बुढा भात खायो त ।
हिके इडिकखेर माज्याच ट ।,किन यतिखेर पनि नखाको त ।
छो माम्हिन्नी क्या ?,भात पाकेको छैन के ?
अनि छेलेस इमाङ राल्हे मारेले ?,अनी यसपालि घरमा आउने नआउने  ?
थाहा माले फोकुङ छा ज्यामी ।,थाहा छैन अर्कोका नुन खाएकोछ ।
मिजाको 'बोई सेन राल्हे ? ' डियार गिन्म उमि ।,बच्चाहरु 'बुवा कहिले आउछ ? ' भनेर सोधी बस्छ ।
छेल्हेस मारे डेनाङ नाम्ल्हेस राले डेनी मिजा कोलाक्की ।,यसपालि आएन भने आघुम आउछ भन्नु बच्चाहरुलाई ।
हयोक्ठार छेल्हेस रान्ही है ।,सकेसम्म यसपालि आउनु है ।
हिकुट जाट्नी ट ?,के कसो गरेको छ त ?
चेचेक इमाङ डामि चेचेक बैंक पट्टि डामी ।,अलिक अलिक घरमा राखेको छु अलिक अलिक बैंककमा राखेको छु ।
सेम्ह उकि है छिनीङ फोन डा ।,राम्रोसँग बस्नु है फोन राख्छु ।
एई बाउजा छिनीङ हयाङ पट्टि नुङ्की परिस्ले ।,ए छोरा आज पेलापाल तिर जानू पर्छ ।
हिके आले मोई ?,किन हो आमा ?
छिनीङ गर्हाङ छोयो डाके परिस्ले ।,आज खेतमा धानको बिउ राख्नु पर्छ ।
हो होट डेनाङ माच्याक्नजा बार्डा हवासो ।,हो त्यसो भए चुपलागेर गोरु हिडा ।
झेर्मेन ले !,सन्चै छ!
हि जात्मले नाकोई ?,के गर्दै हुनुहुन्छ हजुर ?
ङा मुमले ।,म बसिराछु ।
नाकुङ इमाङ चहिङ कुस्कुस ले ?,तपाईको घरमा अहिले को को हुनुहुन्छ ?
पत्तको झेर्मन ले ।,सबै जना सन्चै हुनुहुन्छ ।
जिवा लफा झेर्मनले ढेके पर्डिसा ।,हजुर साथी सन्चै छ भन्नुपर्यो ।
हतै हि जात्मोले छिनिङ पिहिन ?,अनि के गर्नु भाछ आज भोलि ?
ए लाफा हिजात्लेर छिनिङ पिहिन इम्लाक्जा होदिकै ले ।,ए साथी के गर्नु आज भोलि घरतिरै छु ।
ङाड होतज आले ।,म पनि तेस्तै हो ।
मेने जाट्के परिसले ।,आफै गर्नुपर्छ ।
छो खासकी परिसा ।,खाना बनाउनु पर्छ ।
मेडाङ छा डाके मह्याक्लेसा ।,तरकारीमा नुन राख्न बिर्सेछु ।
छिनीङ मेट माजाप्च आउलेनि ?,आज तरकारी नमिठो होलानि ?
ङा ज्याच चेस ज्यालाङ ।,म खाना कम खान्छु ।
ङाके मोईओ ढलिङ आर्मित्मा राहाले ।,मलाई आमाको धेरे सम्झना आउछ ।
भाग्यमानी अट्छाने !,भाग्यमानी भइस !
डै डी याहानी न ।,दिदी पानी दिनु न ।
लानी !,लिनु !
पीहीन कूलाक आन्के ?,भोली कता जाने हो ?
कूडीक सेहेच आले !,कति राम्रो हो !
कलाप मूइङ न !,एकछिन बसौं न !
नम्सू ड माराहा ।,हावा पनि आएन ।
सेन डूप्के ?,कहिले भेट्ने ?
ङा च चेक माझेर्मुनाले ।,म त अलिक सन्चो छैन ।
डाजी नाकोके हि छानार ?,दाइ तँपाईलाई के भयोर ?
ङाके छान राहच ले ।,मलाई ज्वररो आएको छ ।
सेन होडा छान ख्याहच आले डाजी ?,कहिले देखी ज्वारो आएको हो दाइ ?
खैकिनिङ होडा,अस्ती देखी 
हस्पितल नुङ्की छाना च ?,हस्पितल जानु भयो त ?
जीबट्कै चेक जाट्मो उषाहा याहा ।,डक्टरले चेक गरेर औषधी दियो ।
चाह कुन्च ले डाजी नाकोके ?,अहिले कस्तो छ दाइ तँपाईलाई ?
का याक नाको न राह्न नी ।,एक दिन तिमी नै आऊ न ।
डोरा सुरवाल बिल्हा र खुकुरी लाप्याक किङ च काइला र दयाहाङ लख न हिरो डाङा ।,दौरा सुरवाल लाएर खुकुरी भिरे पछि त काइलो पनि दयाहाङ जस्तै हिरो देखियो ।
होच कुरा टारडियाला ।,उ कुरा टारिदिन्थ्यो ।
"उमनामाङ न गर्मी न छान्ने , जुमनामाङ न च बड्को जुम्म न छान्ने ।","गर्मीयाममा न गर्मी नै हुन्छ , जाडोयाममा न त अचाक्ली जाडो नै हुन्छ ।"
नाकुङ बरसालाङ ही ही ले ?,तिम्रो गोठमा के के छ ?
नाको ङौ इमाङ नुहुँके पर्ले ।,तिमी मेरो घरमा जानु पर्छ ।
हटै सौटै काम जाट्की डासा ।,त्यसपछि सौताले काम गर्न छोडी ।
'बज्या म्हुङम लेको डुखा माय्हानी । ','बज्यै थाक्नु भएको छ दुःख नदिनु । '
होसकोइ टिकट ला ।,उनले टिकट लिइ ।
"काहिलये गीना , माह्ले साहिला नाङ कुलाङ नुहुँचाले ?","काहिलोले सोध्यो , होइन साँहिलो तिमी कता गएको ,?"
बोये डेच कुरा मन्डिनी ।,आमाले भनेको कुरा मान ।
ज्याकेटो चेन ढेमाङ टन्डिया ङै ।,ज्याकेटको चेन माथि तानेँ मैले ।
"अर्थो वार्डआङ चिन्डिच वन्दना सिस्टरे ङाकी डेच लेया , 'ङाकी र साहित्याङ मीमन ले । ङै चहीन्या ढेरै लेखाना कथाको रीक्ले । न्हुनीङ छाना डेनाङ कथा संग्रहाङ पुस्तक प्रकासन जाट्की मीमन ले । '","अर्थो वार्डमा चिनेको वन्दना सिस्टरले मलाई भनेकी थिई , 'मलाई पनि साहित्यमा रुचि छ । मैले चाँहि धेरैजसो कथाहरु लेख्छु । पछि भयो भने कथा संग्रहको पुस्तक प्रकाशन गर्ने मन छ । '"
'हीके मानुहूँच ? कुचे ही जाटा ? ','किन गएको त ? कस्ले के गर्यो ? '
कोहि इलाक कोहि उलाक ल्हेसार मीसा ।,कोहि यता कोहि उता पल्टिएर सुत्यो ।
ङौ मीज्यानीङ कम्पन ख्योहा ।,मेरो आङबाट कम्पन छुट्यो।
तालुङ लाङ्घा चहीन्या लेक डेमर लेक र माहाले बेँसी डेमर बेँसी र माहाले ।,तालुङ गाउँ चाँहि लेक भनेर लेक पनि होइन बेँसी भनेर बेँसी पनि होइन ।
दोर्जेये सेहेमकठा पढीसा डेनाङ पास छान्ने ।,दोर्जेले राम्रोसँग पढ्यो भने पास हुन्छ ।
ओछ्यान ओसिलो छान्ला ।,ओछ्यान ओसिलो हुन्थ्यो ।
नाको मान्म माछान्ले ।,तिमी नगइ हुँदैन ।
मनकेप जीमार सोकेमुके जाट्के लैडिया ।,कान समातेर उठबस गर्न लगायो ।
ङा कठा न ङुके थाला ।,मसँगै बस्न थाल्यो ।
डोल्मोसे काट कविता राक्ङने नानी म्यारमीन रीको डेम दर्ता जाटा ।,डोल्मोसे एउटा कविता ल्याएको छ बहिनी नाम लेख भनेर दर्ता गरी ।
होसे आन्दोलने जीवनके कठा नुन्के पा ।,त्यही आन्दोलनले जीवनलाई सँगै लाना खोज्यो ।
'प्लिक्सि' छाप्डिआर सुर महिना न्हुन ङै सुष्म डैकी फोन लाकिङ आर्मीटा ।,'प्लिक्सि' छापेरे केहि महिना पछि मैले सुष्म दिदीलाई फोन मार्फत् सम्झेँ ।
"'हे बाबु ! , इलाक राह्नी च नाङ । ' का याक पार्लाक इमो कान्छा बाबुये आर्घा ।","'ए बाबु ! , एता आउ त तिमी । ' एक दिन पल्लो घरको कान्छो काकाले बोलाउनु भयो ।"
नाको मगर आले ।,तपाईहरू मगर हुनुहुन्छ ।
भया डी गा ।,भाइ पानी खाए ।
बिल्च टाङ्च र अलग न लेया ।,ओड्ने ओछ्याउने पनि अलग नै थियो ।
"डुप्च बित्तिकै गीता डैये ङाकी गोना ,'सुर लाफाको माटार्हा भया ? '","भेट हुने बित्तिकै गीता दिदीले मलाई सोध्नु भयो , 'कोहि साथीहरु आइपुगेना भाइ ? '"
होचे रोशनो मेनकेपाङ गीना ।,उसले रोशनको कानैमा सोध्यो ।
होलाक होलाक ङोसा ।,उता उता हेरी ।
रन्छिच माट्हा सुन्हच माट्हा ।,भोक हरायो प्यास हरायो ।
बाजी रक्सी गामन लेको ।,बाजेहरू रक्सी खाँदै छन् ।
नाकोकी कार्यक्रमाङ ङा कार्यक्रम सञ्चालिकाओ तर्फीङ स्वागत ले ।,तपाईहरुलाई कार्यक्रममा म कार्यक्रम सञ्चालिकाको तर्फबाट स्वगत छ ।
इमाङ ङुके न मापाके छाना ।,घरमा बस्न नै नखोज्ने भयो ।
ज्याकी मीमन न लेनाङ ।,खाने मनै भए ।
बाजी भीट्री सिरानाङ ङुमन्य ।,बाजे भित्र सिरानमा बस्नुहोस् ।
कुलाक नुहूँआ डेम पा ।,कहाँ गयो भनेर खोज्यो ।
मीरिसये बोङली लख छानार माझा मीजाकोकी र माओस्म हान रक्सी गार ह्वा ।,रिसले बहुलाइ झैं भएर छारीहरुलाई पनि नहेरेर जाँड रक्सी खाएर हिँडी ।
ङै खोलाङ काट डीस्या डाङा ।,मैले खोलामा एउटा माछा देखे ।
"'ङौ चहीन्या सुजन मगर' , ङै हीड माडेमन डैये ङाकी मेनो परिचय याहा ।","'मेरो चाँहि सुजन मगर' , मैले केहि नभन्दै दिदीले मलाई आफ्नो परिचय दिनुभयो ।"
दूध र कासा ।,दूध पनि खुवायो ।
जन्ती राह्च बखट होचे सत्रुके खुकुरी ङाप्च आउसा ।,जन्ती आएको बेलामा उसले सत्रुलाई खुकुरी हानेको रहेछ ।
लाङ्घाङ ढेरै भर्मीकोइ र ङाकी मासेहेच डेच सेया ।,गाउँका धेरै मानिसहरुले पनि मलाई नराम्रो भन्ने सुनेँ ।
डैओ बोइ र सिकर्मी छान्य खर्च ग्होके गाह्रो माछाना ।,दिनिको बुबा पनि सिकर्मी भएकोले खर्च संकलन गर्न गाह्रो भएन ।
माझा मीजा नुन्के आलेडेनाङ पाहुर लार राह्नी ।,छोरी लाने होभने कोसेली लिएर आउ ।
इमाङ ङुवार तामखु तन्डिम जाट्च जिमिदार बुढाये होसके संघारमा डाङ्च बित्तिकै झोरा ।,घरमा बसेर तमाखु तान्दै गरेको जिमिदार बुढाले उसलाई संघारमा देख्ने बित्तिकै सम्बोधन गर्यो ।
'ङाकी लग्डीसच चहीन्या इसे भर्मी उभो मालग्डिसले । ' होलाकाओ काटजनै डेया ।,'मलाई लागेको चाँहि यो मान्छे उभो लाग्दैन । ' त्यहीका एकजनाले भने ।
ङा मेनेकेपे सेमनाङ ।,म कान सुनिरहेकै छु ।
सरसफाइ जाट्नी । धुप जोनी ।,सरसफाइ गर । धुप बाल ।
कलाप ङुवार राजन अनि ङा डाजी र भजी खाटा भा ।,एकछिन बसेर राजन र म दाज्यु र भाउजुसँग छुटेँ ।
झामो झाँक्रो फिजडियार मीरिसओ ज्वालाये ज्ञ्याच छान्च मीमीक ल्हेट्म ग्वा घोवार डाच ढाकर डोना ।,कपालको झाँक्रो फिजाएर आक्रोशको ज्वालाले राता भएका आँखा पल्टाउँदै कुखुरा छोपी राखेको डोको उघारिन् ।
ङा थरथर होयम छो ज्याके भ्या ।,म थरथर काम्दै खाना खान भ्याए ।
होसकुङ कान्छा भया बिमल पुलिसाङ जागिरे लेया ।,उनको कान्छा भाइ बिमल पुलिसमा जागिरे थियो ।
"होसकोइ मीमीकडी झालाक्च डाङार कुडिक चोटि मेन कठाओ मार्च मार्च गोठाला गोठाल्नी भया नानीकोकी होसकोइ गन्की जाट्ला , 'माहाले डाजी ! नाको किताब पढीसार हिके राप्ङुले ? '","उसले आँसु झारेको देखेर कति पटक आफूसँगको साना सानी गोठाला गोठाल्नी भाइ बहिनीहरुले उसलाई सोध्ने गर्थे , 'होइन दाइ ! तपाई किताब पढेर किन रुनुहुन्छ ? '"
सुयो बैना चेप्टे सुन ।,कस्को बैना चेप्टे सुन ।
सेच छुरु छान्डियार कनिका परिस्च जतिके डोना रजोखाना ङोस्के सुरु जाटा ।,सग्लो चामल छानेर कनिका परेको जतिलाई निकाल्यो र जोखाना हेर्न सुरु गर्यो ।
हुच चीउये माजिक्ले ।,भुक्ने कुकुरले टोक्दैन ।
ङौ सोम नाती ले ।,मेरा तिन नाती छन् ।
होसे नीस र डुम्जनओ होटलाङ पैडीसा ।,ती दुई पनि डुम्जनको होटलमा पस्यो ।
पेमाये सोनाये डेच कुरा बुझडीस्नाङ लख जाट्न मीटालु होयका ।,पेमाले सोनाले भनेको कुरा बेझे झैं गरि टाउको हल्लायो ।
ज्यू छान्ने छान्ने ।,हजुर हुन्छ हुन्छ ।
अस्काट हान बिगारडीसा डेनाङ रक्सी पार्डिनी न ।,अर्को जाँड बिग्रियो भने रक्सी पार्न।
डैभेना रीक्ङन लेको ।,दिदीभेना लेख्दै छन् ।
टुन याक जति छाना औला ।,सात दिन जति भयो होला ।
नाङके इन्नाङ कुत ले ?,तिमीलाई अहिले कस्तो छ ?
थापा मगर आले होसको ।,थापा मगर हो उनीहरु ।
करङ्च मार्च पट्टन लेया ।,ठुला साना सबै थिए ।
ङा नुहुँच होसकोकी सेहेच छान्लेसा ।,म गएको त उनीहरूलाई राम्रो भएछ ।
होसे सब्द पट्ट डेनाङ पहिला ङै दाज्यू पुष्करो मेङगेरइङ सेच लेया ।,त्यो शब्द सबैभन्दा पहिले मैले दाज्यु पुष्करकै मुखबाट सुनेको थिएँ ।
कुरा जाट्नी न ।,कुरा गर न ।
होसे लाङ्घाङ वार्चको सुर मालेउसा ।,त्यो गाउँमा जान्नेसुन्ने कोही रैनछ ।
अनुहार डेमाङ सोट्के माय्होक्ले ।,अनुहार माथी उठाउन सकेन ।
मझा मीजा काट वर्षओ छाना ।,छोरी एक वर्षको भयो ।
मीजै दुध गा ।,बच्चाले दुध चुस्यो ।
ङौ जागिर लेमै लेया ।,मेरो जागिर छँदै थियो ।
ने डीस्या ज्याले ?,तिमीले माछा खान्छौ ?
